Entity,Code,Year,$30 a day - Share of population in poverty,990306-annotations
Albania,ALB,1996,99.89742,
Albania,ALB,2002,98.94813,
Albania,ALB,2005,98.85736,
Albania,ALB,2008,98.50923,
Albania,ALB,2012,99.07353,
Albania,ALB,2014,98.09888,
Albania,ALB,2015,96.06041,
Albania,ALB,2016,95.69869,
Albania,ALB,2017,96.03344,
Albania,ALB,2018,96.276825,
Albania,ALB,2019,95.23524,
Albania,ALB,2020,95.337006,
Algeria,DZA,1988,98.719,
Algeria,DZA,1995,99.276,
Algeria,DZA,2011,98.968,
Angola,AGO,2000,97.45659,
Angola,AGO,2008,98.69264,
Angola,AGO,2018,98.85972,
Argentina (urban),,1980,60.280003,
Argentina (urban),,1986,58.632385,
Argentina (urban),,1987,63.708614,
Argentina (urban),,1991,79.70474,
Argentina (urban),,1992,77.50445,
Argentina (urban),,1993,77.2528,
Argentina (urban),,1994,78.06588,
Argentina (urban),,1995,80.99448,
Argentina (urban),,1996,80.974594,
Argentina (urban),,1997,79.02297,
Argentina (urban),,1998,80.21691,
Argentina (urban),,1999,81.72438,
Argentina (urban),,2000,81.00421,
Argentina (urban),,2001,83.34348,
Argentina (urban),,2002,90.60414,
Argentina (urban),,2003,83.91515,
Argentina (urban),,2004,81.30772,
Argentina (urban),,2005,78.658035,
Argentina (urban),,2006,74.599724,
Argentina (urban),,2007,73.85893,
Argentina (urban),,2008,71.92174,
Argentina (urban),,2009,70.15015,
Argentina (urban),,2010,69.534515,
Argentina (urban),,2011,66.45133,
Argentina (urban),,2012,65.54935,
Argentina (urban),,2013,65.26115,
Argentina (urban),,2014,69.16546,
Argentina (urban),,2016,68.280396,
Argentina (urban),,2017,65.49885,
Argentina (urban),,2018,70.44849,
Argentina (urban),,2019,71.892334,
Argentina (urban),,2020,77.21531,
Argentina (urban),,2021,74.93512,
Argentina (urban),,2022,76.92439,
Armenia,ARM,1999,99.435715,
Armenia,ARM,2001,99.64138,
Armenia,ARM,2002,99.483406,
Armenia,ARM,2003,99.48523,
Armenia,ARM,2004,98.61793,
Armenia,ARM,2005,98.430756,
Armenia,ARM,2006,99.39315,
Armenia,ARM,2007,99.291725,
Armenia,ARM,2008,99.53959,
Armenia,ARM,2009,99.62739,
Armenia,ARM,2010,99.42515,
Armenia,ARM,2011,99.35563,
Armenia,ARM,2012,99.10039,
Armenia,ARM,2013,99.34979,
Armenia,ARM,2014,98.68831,
Armenia,ARM,2015,98.17531,
Armenia,ARM,2016,99.15577,
Armenia,ARM,2017,98.50291,
Armenia,ARM,2018,97.81958,
Armenia,ARM,2019,99.20848,
Armenia,ARM,2020,99.606316,
Armenia,ARM,2021,99.329796,
Armenia,ARM,2022,99.52164,
Australia,AUS,1981,44.993355,
Australia,AUS,1985,44.334503,
Australia,AUS,1989,42.499397,
Australia,AUS,1995,47.499493,
Australia,AUS,2001,39.742588,
Australia,AUS,2003,37.46146,
Australia,AUS,2004,30.998219,
Australia,AUS,2008,19.673101,
Australia,AUS,2010,19.011671,
Australia,AUS,2014,14.747969,
Australia,AUS,2016,15.487792,
Australia,AUS,2018,15.246055,
Austria,AUT,1994,21.21128,
Austria,AUT,1995,21.222687,
Austria,AUT,1996,23.996727,
Austria,AUT,1997,22.743563,
Austria,AUT,1998,22.954603,
Austria,AUT,1999,19.739485,
Austria,AUT,2000,19.119104,
Austria,AUT,2003,17.404945,
Austria,AUT,2004,15.170763,
Austria,AUT,2005,16.107155,
Austria,AUT,2006,15.58516,
Austria,AUT,2007,16.189272,
Austria,AUT,2008,14.766304,
Austria,AUT,2009,14.500234,
Austria,AUT,2010,13.26215,
Austria,AUT,2011,14.497179,
Austria,AUT,2012,15.02244,
Austria,AUT,2013,12.367756,
Austria,AUT,2014,13.655947,
Austria,AUT,2015,14.423686,
Austria,AUT,2016,12.439717,
Austria,AUT,2017,12.599209,
Austria,AUT,2018,12.59204,
Austria,AUT,2019,11.438539,
Austria,AUT,2020,11.493979,
Austria,AUT,2021,12.30143,
Azerbaijan,AZE,1995,99.740685,
Azerbaijan,AZE,2001,99.03224,
Azerbaijan,AZE,2002,99.23972,
Azerbaijan,AZE,2003,99.117714,
Azerbaijan,AZE,2004,98.74931,
Azerbaijan,AZE,2005,98.60784,
Bangladesh,BGD,1983,100,
Bangladesh,BGD,1985,100,
Bangladesh,BGD,1988,100,
Bangladesh,BGD,1991,99.98399,
Bangladesh,BGD,1995,99.86118,
Bangladesh,BGD,2000,99.92995,
Bangladesh,BGD,2005,99.90698,
Bangladesh,BGD,2010,99.82919,
Bangladesh,BGD,2016,99.750374,
Bangladesh,BGD,2022,99.39304,
Belarus,BLR,1998,99.917595,
Belarus,BLR,1999,100,
Belarus,BLR,2000,99.92627,
Belarus,BLR,2001,99.72293,
Belarus,BLR,2002,99.70963,
Belarus,BLR,2003,99.85755,
Belarus,BLR,2004,99.83592,
Belarus,BLR,2005,99.439156,
Belarus,BLR,2006,98.97927,
Belarus,BLR,2007,97.44485,
Belarus,BLR,2008,97.634315,
Belarus,BLR,2009,97.64005,
Belarus,BLR,2010,95.1577,
Belarus,BLR,2011,95.77385,
Belarus,BLR,2012,94.104065,
Belarus,BLR,2013,91.45252,
Belarus,BLR,2014,89.82379,
Belarus,BLR,2015,93.44172,
Belarus,BLR,2016,94.129135,
Belarus,BLR,2017,93.91418,
Belarus,BLR,2018,91.81709,
Belarus,BLR,2019,89.68969,
Belarus,BLR,2020,90.21995,
Belgium,BEL,1985,46.749275,
Belgium,BEL,1988,42.487465,
Belgium,BEL,1992,34.74148,
Belgium,BEL,1995,24.964571,
Belgium,BEL,1997,24.49983,
Belgium,BEL,2000,18.905642,
Belgium,BEL,2003,21.589338,
Belgium,BEL,2004,19.8105,
Belgium,BEL,2005,17.943521,
Belgium,BEL,2006,18.676237,
Belgium,BEL,2007,17.94115,
Belgium,BEL,2008,17.028358,
Belgium,BEL,2009,16.394794,
Belgium,BEL,2010,16.53855,
Belgium,BEL,2011,18.28532,
Belgium,BEL,2012,16.149403,
Belgium,BEL,2013,16.524687,
Belgium,BEL,2014,17.11172,
Belgium,BEL,2015,16.46601,
Belgium,BEL,2016,16.335175,
Belgium,BEL,2017,15.333125,
Belgium,BEL,2018,14.560702,
Belgium,BEL,2019,12.34364,
Belgium,BEL,2020,11.473309,
Belgium,BEL,2021,10.426699,
Belize,BLZ,1993,96.21137,
Belize,BLZ,1994,96.36237,
Belize,BLZ,1996,96.79636,
Belize,BLZ,1997,97.54565,
Belize,BLZ,1998,96.84218,
Belize,BLZ,1999,96.421394,
Benin,BEN,2003,99.845924,
Benin,BEN,2011,99.8596,
Benin,BEN,2015,99.817696,
Benin,BEN,2018,99.64432,
Benin,BEN,2021,99.60697,
Bhutan,BTN,2003,98.84645,
Bhutan,BTN,2007,98.82509,
Bhutan,BTN,2012,96.88921,
Bhutan,BTN,2017,96.92858,
Bhutan,BTN,2022,93.963036,
Bolivia,BOL,1997,90.83955,
Bolivia,BOL,1999,91.43666,
Bolivia,BOL,2000,92.77967,
Bolivia,BOL,2001,92.91772,
Bolivia,BOL,2002,92.93751,
Bolivia,BOL,2004,91.44624,
Bolivia,BOL,2005,89.79907,
Bolivia,BOL,2006,89.15226,
Bolivia,BOL,2007,88.65892,
Bolivia,BOL,2008,88.56257,
Bolivia,BOL,2009,87.98351,
Bolivia,BOL,2011,84.85591,
Bolivia,BOL,2012,83.9472,
Bolivia,BOL,2013,81.37371,
Bolivia,BOL,2014,82.355896,
Bolivia,BOL,2015,83.16145,
Bolivia,BOL,2016,83.27474,
Bolivia,BOL,2017,83.06871,
Bolivia,BOL,2018,83.52235,
Bolivia,BOL,2019,83.03074,
Bolivia,BOL,2020,83.39294,
Bolivia,BOL,2021,83.32213,
Bolivia (urban),,1990,94.835,
Bolivia (urban),,1992,96.01998,
Bosnia and Herzegovina,BIH,2001,96.73554,
Bosnia and Herzegovina,BIH,2004,83.61494,
Bosnia and Herzegovina,BIH,2007,78.516525,
Bosnia and Herzegovina,BIH,2011,81.6385,
Botswana,BWA,1985,98.773994,
Botswana,BWA,1993,97.804,
Botswana,BWA,2002,93.45833,
Botswana,BWA,2009,93.44578,
Botswana,BWA,2015,96.06113,
Brazil,BRA,1981,95.16448,
Brazil,BRA,1982,94.97548,
Brazil,BRA,1983,96.21232,
Brazil,BRA,1984,96.16484,
Brazil,BRA,1985,96.04216,
Brazil,BRA,1986,90.22619,
Brazil,BRA,1987,93.08539,
Brazil,BRA,1988,92.96371,
Brazil,BRA,1989,91.32883,
Brazil,BRA,1990,93.926155,
Brazil,BRA,1992,96.71112,
Brazil,BRA,1993,94.21133,
Brazil,BRA,1995,90.77214,
Brazil,BRA,1996,90.76796,
Brazil,BRA,1997,90.94005,
Brazil,BRA,1998,90.61605,
Brazil,BRA,1999,91.42783,
Brazil,BRA,2001,89.96759,
Brazil,BRA,2002,89.88201,
Brazil,BRA,2003,90.53115,
Brazil,BRA,2004,90.591896,
Brazil,BRA,2005,90.15744,
Brazil,BRA,2006,89.164665,
Brazil,BRA,2007,88.72646,
Brazil,BRA,2008,87.94252,
Brazil,BRA,2009,87.38339,
Brazil,BRA,2011,86.15426,
Brazil,BRA,2012,84.75604,
Brazil,BRA,2013,83.71022,
Brazil,BRA,2014,83.05426,
Brazil,BRA,2015,83.73012,
Brazil,BRA,2016,83.709656,
Brazil,BRA,2017,83.78522,
Brazil,BRA,2018,82.98445,
Brazil,BRA,2019,82.71898,
Brazil,BRA,2020,83.773964,
Brazil,BRA,2021,85.10524,
Brazil,BRA,2022,82.317085,
Bulgaria,BGR,1992,83.478,
Bulgaria,BGR,2006,97.249565,
Bulgaria,BGR,2007,91.45002,
Bulgaria,BGR,2008,89.06187,
Bulgaria,BGR,2009,88.25342,
Bulgaria,BGR,2010,89.09672,
Bulgaria,BGR,2011,92.21674,
Bulgaria,BGR,2012,90.22625,
Bulgaria,BGR,2013,86.72421,
Bulgaria,BGR,2014,84.392494,
Bulgaria,BGR,2015,85.36775,
Bulgaria,BGR,2016,79.469666,
Bulgaria,BGR,2017,80.93192,
Bulgaria,BGR,2018,74.4794,
Bulgaria,BGR,2019,71.798515,
Bulgaria,BGR,2020,67.68442,
Bulgaria,BGR,2021,65.295784,
Burkina Faso,BFA,1994,99.89609,
Burkina Faso,BFA,1998,99.8083,
Burkina Faso,BFA,2003,99.894714,
Burkina Faso,BFA,2009,99.871185,
Burkina Faso,BFA,2014,99.879,
Burkina Faso,BFA,2018,99.584435,
Burkina Faso,BFA,2021,99.68541,
Burundi,BDI,1992,100,
Burundi,BDI,1998,99.96734,
Burundi,BDI,2006,99.996475,
Burundi,BDI,2013,99.94495,
Burundi,BDI,2020,99.96614,
Cameroon,CMR,1996,99.68989,
Cameroon,CMR,2001,99.40871,
Cameroon,CMR,2007,99.576805,
Cameroon,CMR,2014,98.94997,
Cameroon,CMR,2021,99.440094,
Canada,CAN,1971,58.496822,
Canada,CAN,1973,49.746426,
Canada,CAN,1975,41.99665,
Canada,CAN,1977,37.742123,
Canada,CAN,1979,35.249855,
Canada,CAN,1981,31.749674,
Canada,CAN,1982,32.24835,
Canada,CAN,1984,31.99684,
Canada,CAN,1985,30.493917,
Canada,CAN,1986,29.497072,
Canada,CAN,1987,28.238731,
Canada,CAN,1988,26.499596,
Canada,CAN,1989,25.245771,
Canada,CAN,1990,25.999128,
Canada,CAN,1991,28.499928,
Canada,CAN,1992,27.749565,
Canada,CAN,1993,29.499954,
Canada,CAN,1994,27.992588,
Canada,CAN,1995,28.488737,
Canada,CAN,1996,32.48819,
Canada,CAN,1997,31.998852,
Canada,CAN,1998,29.747135,
Canada,CAN,1999,28.499138,
Canada,CAN,2000,26.99924,
Canada,CAN,2001,25.249174,
Canada,CAN,2002,25.24601,
Canada,CAN,2003,24.999077,
Canada,CAN,2004,23.99861,
Canada,CAN,2005,22.498905,
Canada,CAN,2006,21.98893,
Canada,CAN,2007,19.49817,
Canada,CAN,2008,18.999641,
Canada,CAN,2009,19.4813,
Canada,CAN,2010,18.999758,
Canada,CAN,2011,17.476171,
Canada,CAN,2012,18.73715,
Canada,CAN,2013,18.249647,
Canada,CAN,2014,16.74367,
Canada,CAN,2015,17.4969,
Canada,CAN,2016,16.476854,
Canada,CAN,2017,15.996785,
Canada,CAN,2018,14.74976,
Canada,CAN,2019,13.496365,
Cape Verde,CPV,2001,97.00948,
Cape Verde,CPV,2007,96.7997,
Cape Verde,CPV,2015,96.57066,
Central African Republic,CAF,1992,99.969,
Central African Republic,CAF,2008,99.38413,
Central African Republic,CAF,2021,99.9659,
Chad,TCD,2003,99.945526,
Chad,TCD,2011,99.85191,
Chad,TCD,2018,99.843994,
Chad,TCD,2022,99.864456,
Chile,CHL,1987,94.02006,
Chile,CHL,1990,92.40072,
Chile,CHL,1992,92.72537,
Chile,CHL,1994,90.94857,
Chile,CHL,1996,89.65132,
Chile,CHL,1998,88.34666,
Chile,CHL,2000,91.194016,
Chile,CHL,2003,91.49387,
Chile,CHL,2006,89.39765,
Chile,CHL,2009,88.09568,
Chile,CHL,2011,86.58701,
Chile,CHL,2013,81.88227,
Chile,CHL,2015,80.50349,
Chile,CHL,2017,77.84351,
Chile,CHL,2020,76.696106,
Chile,CHL,2022,72.191025,
China,CHN,1981,100,
China,CHN,1984,100,
China,CHN,1987,100,
China,CHN,1990,99.977936,
China,CHN,1993,100,
China,CHN,1996,100,
China,CHN,1999,99.98372,
China,CHN,2002,99.735275,
China,CHN,2005,99.45296,
China,CHN,2008,98.88894,
China,CHN,2010,98.26822,
China,CHN,2011,98.040474,
China,CHN,2012,97.56893,
China,CHN,2013,96.90927,
China,CHN,2014,96.35177,
China,CHN,2015,95.76985,
China,CHN,2016,94.97003,
China,CHN,2017,94.093796,
China,CHN,2018,93.17897,
China,CHN,2019,92.345604,
China,CHN,2020,93.64614,
China,CHN,2021,91.73322,
China (rural),,1981,100,
China (rural),,1984,100,
China (rural),,1987,100,
China (rural),,1990,99.97,
China (rural),,1993,100,
China (rural),,1996,100,
China (rural),,1999,99.975,
China (rural),,2002,99.864,
China (rural),,2005,99.882,
China (rural),,2008,99.620995,
China (rural),,2010,99.427,
China (rural),,2011,99.427,
China (rural),,2012,99.228,
China (rural),,2013,99.315,
China (rural),,2014,99.132,
China (rural),,2015,98.95,
China (rural),,2016,98.739,
China (rural),,2017,98.293,
China (rural),,2018,98.004,
China (rural),,2019,97.71,
China (rural),,2020,97.787,
China (rural),,2021,97.083,
China (urban),,1981,100,
China (urban),,1984,100,
China (urban),,1987,100,
China (urban),,1990,100,
China (urban),,1993,100,
China (urban),,1996,100,
China (urban),,1999,100,
China (urban),,2002,99.529,
China (urban),,2005,98.873,
China (urban),,2008,98.048004,
China (urban),,2010,97.073,
China (urban),,2011,96.682,
China (urban),,2012,96.023,
China (urban),,2013,94.777,
China (urban),,2014,94.007996,
China (urban),,2015,93.22,
China (urban),,2016,92.096,
China (urban),,2017,91.048004,
China (urban),,2018,89.847,
China (urban),,2019,88.814995,
China (urban),,2020,91.046,
China (urban),,2021,88.524994,
Colombia,COL,1992,93.85113,
Colombia,COL,1996,95.037,
Colombia,COL,1999,95.134964,
Colombia,COL,2000,94.17803,
Colombia,COL,2001,95.74682,
Colombia,COL,2002,94.13446,
Colombia,COL,2003,94.46404,
Colombia,COL,2004,94.05679,
Colombia,COL,2005,93.58149,
Colombia,COL,2008,91.96187,
Colombia,COL,2009,92.13264,
Colombia,COL,2010,91.01485,
Colombia,COL,2011,90.62359,
Colombia,COL,2012,90.377594,
Colombia,COL,2013,89.60941,
Colombia,COL,2014,88.95434,
Colombia,COL,2015,89.39965,
Colombia,COL,2016,89.96602,
Colombia,COL,2017,90.01341,
Colombia,COL,2018,89.64758,
Colombia,COL,2019,89.4354,
Colombia,COL,2020,91.27228,
Colombia,COL,2021,88.255325,
Colombia,COL,2022,86.936554,
Colombia (urban),,1980,95.32,
Colombia (urban),,1988,94.799,
Colombia (urban),,1989,95.074,
Colombia (urban),,1991,94.724,
Comoros,COM,2004,95.704254,
Comoros,COM,2014,98.509155,
Congo,COG,2005,99.650955,
Congo,COG,2011,99.07387,
Costa Rica,CRI,1981,98.908005,
Costa Rica,CRI,1986,100,
Costa Rica,CRI,1989,95.98286,
Costa Rica,CRI,1990,95.69209,
Costa Rica,CRI,1991,96.51867,
Costa Rica,CRI,1992,96.23385,
Costa Rica,CRI,1993,94.084816,
Costa Rica,CRI,1994,92.41589,
Costa Rica,CRI,1995,93.278,
Costa Rica,CRI,1996,93.30835,
Costa Rica,CRI,1997,93.09857,
Costa Rica,CRI,1998,90.85022,
Costa Rica,CRI,1999,91.0283,
Costa Rica,CRI,2000,91.53054,
Costa Rica,CRI,2001,85.27344,
Costa Rica,CRI,2002,85.2844,
Costa Rica,CRI,2003,84.7096,
Costa Rica,CRI,2004,86.228676,
Costa Rica,CRI,2005,85.08509,
Costa Rica,CRI,2006,85.15672,
Costa Rica,CRI,2007,82.973946,
Costa Rica,CRI,2008,81.998,
Costa Rica,CRI,2009,80.175766,
Costa Rica,CRI,2010,78.75473,
Costa Rica,CRI,2011,77.31464,
Costa Rica,CRI,2012,75.97873,
Costa Rica,CRI,2013,74.0903,
Costa Rica,CRI,2014,76.19875,
Costa Rica,CRI,2015,76.13155,
Costa Rica,CRI,2016,74.74706,
Costa Rica,CRI,2017,74.48015,
Costa Rica,CRI,2018,74.81986,
Costa Rica,CRI,2019,75.12759,
Costa Rica,CRI,2020,78.872856,
Costa Rica,CRI,2021,75.968666,
Costa Rica,CRI,2022,76.03126,
Costa Rica,CRI,2023,73.2841,
Cote d'Ivoire,CIV,1985,96.890465,
Cote d'Ivoire,CIV,1986,98.51515,
Cote d'Ivoire,CIV,1987,98.272514,
Cote d'Ivoire,CIV,1988,99.25877,
Cote d'Ivoire,CIV,1992,99.836555,
Cote d'Ivoire,CIV,1995,99.420425,
Cote d'Ivoire,CIV,1998,99.77389,
Cote d'Ivoire,CIV,2008,99.622284,
